lemma,ojibwe_sentence,english_sentence
nagadan,Giishpin gabikaman mii go bizaan izhi-nagadan.,"If you pass it, just go ahead and leave it behind."
nagadan,"Onjida go ogii-nagadaan obabaamizii-mashkimod. Mii idi waa-ni-onji-maajaad, gichi-oodenaang wii-izhaad.",He left his briefcase on purpose because he's going to go from there to the big city.
nagadan,Awiya ogii'-nagadaanan omakizinan anaamaya'ii ninibewining.,Somebody left their shoes under my bed.
gashki-o,Ogii-piimaabika'oodoon zagaabiiginigan gaa-gii'-onji-gashki'od bizhiw.,It twisted the wire on the trap; that's how the lynx got away.
gashki-o,Gii-mamaanjigobinag nindayens booch igo gii-kashki'o.,"When I tied up my puppy, he got loose anyway."
gashki-o,Mii go booch gii-kashki'od awe inday aana-gii-kitaakwapinag.,My dog got free even though I'd tied him up.
boozi,Indaashaayok. Boozig omaa.,"All of you, come here and get in."
boozi,Niwii-pooz imaa biinjidaabaan.,I'll get in the car.
boozi,Ogii-kiboobidoon iw ogashkibidaagan jibwaa-boozid imaa ishkodewidaabaaning.,He zipped up his bag before he boarded the train.
boozi,Nitam nimbooz imaa jiimaaning awi-bagida'waayaang.,I get in the front of the canoe when we set net.
babaa,Gabe-niibin nimbabaa-mawinz.,I've been going around picking berries all summer.
babaa,"Babaa-zaginikeba'idiwag,",They're running around holding on to each other.
memindage,Memindage naa gii-migoshkaadendaagwad apane gii-miigaading.,It is especially worrisome because of the wars that are going on all the time.
memindage,Memindage ogagwe-gaachiji'aan.,She tried hard to get his attention.
aabiinjitoon,Ogii-maanikaagonan iniw miinan gii-miijid. Onzaam ogii-aabiinjitoonan.,The blueberries he was eating didn't agree with him. He pigged out on them.
bichi,Ogii-bichi-ziigwebinaan doodooshaaboo.,He accidentally spilled the milk.
bichi,Nimbichi-baasa'aan i'iw waasechigan.,I accidentally broke the window.
bichi,Ogii-pichi-nisidawinawaan. Maagizhaa wiijikiwenyan gii-inendam.,He mistook somebody. He thought maybe it was his brother.
zhaabowe,Mii ko ingiw ikwewag naadamaagewaad nagamong mii imaa zhaabowewaad ezhi-wiinjigaadeg.,When the women help with the singing they do what is called zhaabowe.
wiijiiw,Ambe daga wiijiiwishin. Naadidaa i'iw doodooshaaboo imaa adaawewigamigong.,Come on with me. Let's go after some milk at the store.
wiijiiw,Gidaa-wiijiiwim ina.,Could you guys go with me?
wiijiiw,Gaawiin geyaabi owiijiiwaasiin onaabeman.,She’s not with her husband any more.
wiijiiw,Giwii-wiijiiwin,I want to go with you.
