lemma,inflection_type,inflected_form,stem,reduplicated_form,subject,object,mood,number,diminutive,locative
nagadan,1s - 0s - ind,ninagadaan,/nagad-/,nanagadan,first_person_singular,singular_inanimate,independent,,FALSE,FALSE
nagadan,3s - 0s - ind,onagadaan,/nagad-/,nanagadan,third_person_singular,singular_inanimate,independent,,FALSE,FALSE
nagadan,3s - 0 - conj,nagadang,/nagad-/,nanagadan,third_person_singular,inanimate_number_not_shown,conjunct,,FALSE,FALSE
nagadan,3s - 0 - ch-conj,negadang,/nagad-/,nanagadan,third_person_singular,inanimate_number_not_shown,changed_conjunct,,FALSE,FALSE
nagadan,2s - 0 - imp,nagadan,/nagad-/,nanagadan,second_person_singular,inanimate_number_not_shown,imperative,,FALSE,FALSE
gashki'o,1s - ind,ingashki',/gashki'o-/,,first_person_singular,,independent,,FALSE,FALSE
gashki'o,1s - ind,ningashki',/gashki'o-/,,first_person_singular,,independent,,FALSE,FALSE
gashki'o,1s - ind,nigashki',/gashki'o-/,,first_person_singular,,independent,,FALSE,FALSE
gashki'o,3s - ind,gashki'o,/gashki'o-/,,third_person_singular,,independent,,FALSE,FALSE
gashki'o,3s - conj,gashki'od,/gashki'o-/,,third_person_singular,,conjunct,,FALSE,FALSE
gashki'o,3s - ch-conj,geshki'od,/gashki'o-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
boozi,1s - ind,imbooz,/boozi-/,baaboozi,first_person_singular,,independent,,FALSE,FALSE
boozi,1s - ind,nimbooz,/boozi-/,baaboozi,first_person_singular,,independent,,FALSE,FALSE
boozi,1s - ind,nibooz,/boozi-/,baaboozi,first_person_singular,,independent,,FALSE,FALSE
boozi,3s - ind,boozi,/boozi-/,baaboozi,third_person_singular,,independent,,FALSE,FALSE
boozi,3s - conj,boozid,/boozi-/,baaboozi,third_person_singular,,conjunct,,FALSE,FALSE
boozi,3s - ch-conj,bwaazid,/boozi-/,baaboozi,third_person_singular,,changed_conjunct,,FALSE,FALSE
babaa-,ch-conj,bebaa-,,,,,changed_conjunct,,FALSE,FALSE
memindage,,memindage,,,,,,,FALSE,FALSE
memindage,,memindage go,,,,,,,FALSE,FALSE
miniiwaabide,1s - ind,niminiiwaabide,/miniiwaabide-/,,first_person_singular,,independent,,FALSE,FALSE
miniiwaabide,3s - ind,miniiwaabide,/miniiwaabide-/,,third_person_singular,,independent,,FALSE,FALSE
miniiwaabide,3s - conj,miniiwaabided,/miniiwaabide-/,,third_person_singular,,conjunct,,FALSE,FALSE
miniiwaabide,3s - ch-conj,meniiwaabided,/miniiwaabide-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
apiitendi,1s - ind,indapiitend,/apiitendi-/,ayaapiitendi,first_person_singular,,independent,,FALSE,FALSE
apiitendi,1s - ind,nindapiitend,/apiitendi-/,ayaapiitendi,first_person_singular,,independent,,FALSE,FALSE
apiitendi,1s - ind,nidapiitend,/apiitendi-/,ayaapiitendi,first_person_singular,,independent,,FALSE,FALSE
apiitendi,3s - ind,apiitendi,/apiitendi-/,ayaapiitendi,third_person_singular,,independent,,FALSE,FALSE
apiitendi,3s - conj,apiitendid,/apiitendi-/,ayaapiitendi,third_person_singular,,conjunct,,FALSE,FALSE
apiitendi,3s - ch-conj,epiitendid,/apiitendi-/,ayaapiitendi,third_person_singular,,changed_conjunct,,FALSE,FALSE
aabiinjitoon,1s - 0s - ind,niyaabiinjitoon,/aabiinjit-/,,first_person_singular,singular_inanimate,independent,,FALSE,FALSE
aabiinjitoon,3s - 0s - ind,oyaabiinjitoon,/aabiinjit-/,,third_person_singular,singular_inanimate,independent,,FALSE,FALSE
aabiinjitoon,3s - 0 - conj,aabiinjitood,/aabiinjit-/,,third_person_singular,inanimate_number_not_shown,conjunct,,FALSE,FALSE
aabiinjitoon,3s - 0 - ch-conj,ayaabiinjitood,/aabiinjit-/,,third_person_singular,inanimate_number_not_shown,changed_conjunct,,FALSE,FALSE
aabiinjitoon,2s - 0 - imp,aabiinjitoon,/aabiinjit-/,,second_person_singular,inanimate_number_not_shown,imperative,,FALSE,FALSE
aabiinjitoon,2s - 0 - imp prohib,gego aabiinjitooken,/aabiinjit-/,,second_person_singular,inanimate_number_not_shown,prohibitive_imperative,,FALSE,FALSE
odaapin,1s - 3s - ind,indoodaapinaa,/odaapin-/,wawidaapin,first_person_singular,third_person_singular,independent,,FALSE,FALSE
odaapin,1s - 3s - ind,nindoodaapinaa,/odaapin-/,wawidaapin,first_person_singular,third_person_singular,independent,,FALSE,FALSE
odaapin,1s - 3s - ind,nidoodaapinaa,/odaapin-/,wawidaapin,first_person_singular,third_person_singular,independent,,FALSE,FALSE
odaapin,3s - 0s - ind,odoodaapinaan,/odaapin-/,wawidaapin,third_person_singular,singular_inanimate,independent,,FALSE,FALSE
odaapin,3s - 3' - conj,odaapinaad,/odaapin-/,wawidaapin,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
odaapin,3s - 3' - ch-conj,wedaapinaad,/odaapin-/,wawidaapin,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
odaapin,2s - 3 - imp,odaapin,/odaapin-/,wawidaapin,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
niiwanishin,1s - ind,niniiwanishin,/niiwanishin-/,,first_person_singular,,independent,,FALSE,FALSE
niiwanishin,3s - ind,niiwanishin,/niiwanishin-/,,third_person_singular,,independent,,FALSE,FALSE
niiwanishin,3s - conj,niiwanishing,/niiwanishin-/,,third_person_singular,,conjunct,,FALSE,FALSE
niiwanishin,3s - ch-conj,naawanishing,/niiwanishin-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
zhaabowe,1s - ind,inzhaabowe,/zhaabowe-/,,first_person_singular,,independent,,FALSE,FALSE
zhaabowe,1s - ind,ninzhaabowe,/zhaabowe-/,,first_person_singular,,independent,,FALSE,FALSE
zhaabowe,1s - ind,nizhaabowe,/zhaabowe-/,,first_person_singular,,independent,,FALSE,FALSE
zhaabowe,3s - ind,zhaabowe,/zhaabowe-/,,third_person_singular,,independent,,FALSE,FALSE
zhaabowe,3s - conj,zhaabowed,/zhaabowe-/,,third_person_singular,,conjunct,,FALSE,FALSE
zhaabowe,3s - ch-conj,zhayaabowed,/zhaabowe-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
wiijiiw,1s - 3s - ind,niwiijiiwaa,/wiijiiw-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
wiijiiw,3s - 1s - ind,niwiijiiwig,/wiijiiw-/,,third_person_singular,first_person_singular,independent,,FALSE,FALSE
wiijiiw,2s - 1s - ind,giwiijiiw,/wiijiiw-/,,second_person_singular,first_person_singular,independent,,FALSE,FALSE
wiijiiw,1s - 2s - ind,giwiijiiwin,/wiijiiw-/,,first_person_singular,second_person_singular,independent,,FALSE,FALSE
wiijiiw,3s - 3' - ind,owiijiiwaan,/wiijiiw-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
wiijiiw,3s - 3' - conj,wiijiiwaad,/wiijiiw-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
wiijiiw,3s - 3' - ch-conj,waajiiwaad,/wiijiiw-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
wiijiiw,2s - 3 - imp,wiijiiw,/wiijiiw-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
wiijiiw,2s - 1s - imp,wiijiiwishin,/wiijiiw-/,,second_person_singular,first_person_singular,imperative,,FALSE,FALSE
wiijiiw,2s - 3 - imp prohib,gego wiijiiwaaken,/wiijiiw-/,,second_person_singular,third_person_number_not_shown,prohibitive_imperative,,FALSE,FALSE
gashki'ewizi,1s - ind,ingashki'ewiz,/gashki'ewizi-/,,first_person_singular,,independent,,FALSE,FALSE
gashki'ewizi,1s - ind,ningashki'ewiz,/gashki'ewizi-/,,first_person_singular,,independent,,FALSE,FALSE
gashki'ewizi,1s - ind,nigashki'ewiz,/gashki'ewizi-/,,first_person_singular,,independent,,FALSE,FALSE
gashki'ewizi,3s - ind,gashki'ewizi,/gashki'ewizi-/,,third_person_singular,,independent,,FALSE,FALSE
gashki'ewizi,3s - conj,gashki'ewizid,/gashki'ewizi-/,,third_person_singular,,conjunct,,FALSE,FALSE
gashki'ewizi,3s - ch-conj,geshki'ewizid,/gashki'ewizi-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
asigibii'igewinini,sg,asigibii'igewinini,/asigibii'igewininiw-/,,,,,singular,FALSE,FALSE
asigibii'igewinini,pl,asigibii'igewininiwag,/asigibii'igewininiw-/,,,,,plural,FALSE,FALSE
anaamim,1s - 3s - ind,indanaamimaa,/anaamim-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
anaamim,1s - 3s - ind,nindanaamimaa,/anaamim-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
anaamim,1s - 3s - ind,nidanaamimaa,/anaamim-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
anaamim,3s - 3' - ind,odanaamimaan,/anaamim-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
anaamim,3s - 3' - conj,anaamimaad,/anaamim-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
anaamim,3s - 3' - ch-conj,enaamimaad,/anaamim-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
anaamim,2s - 3 - imp,anaamim,/anaamim-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
bezhigoobii'igan,sg,bezhigoobii'igan,/bezhigoobii'igan-/,,,,,singular,FALSE,FALSE
bezhigoobii'igan,pl,bezhigoobii'iganag,/bezhigoobii'igan-/,,,,,plural,FALSE,FALSE
dewizi,1s - ind,indewiz,/dewizi-/,dedewizi,first_person_singular,,independent,,FALSE,FALSE
dewizi,1s - ind,nindewiz,/dewizi-/,dedewizi,first_person_singular,,independent,,FALSE,FALSE
dewizi,1s - ind,nidewiz,/dewizi-/,dedewizi,first_person_singular,,independent,,FALSE,FALSE
dewizi,3s - ind,dewizi,/dewizi-/,dedewizi,third_person_singular,,independent,,FALSE,FALSE
dewizi,3s - conj,dewizid,/dewizi-/,dedewizi,third_person_singular,,conjunct,,FALSE,FALSE
dewizi,3s - ch-conj,dayewizid,/dewizi-/,dedewizi,third_person_singular,,changed_conjunct,,FALSE,FALSE
moosewiingwe,1s - ind,nimoosewiingwe,/moosewiingwe-/,,first_person_singular,,independent,,FALSE,FALSE
moosewiingwe,3s - ind,moosewiingwe,/moosewiingwe-/,,third_person_singular,,independent,,FALSE,FALSE
moosewiingwe,3s - conj,moosewiingwed,/moosewiingwe-/,,third_person_singular,,conjunct,,FALSE,FALSE
moosewiingwe,3s - ch-conj,mwaasewiingwed,/moosewiingwe-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
mitigomin,sg,mitigomin,/mitigomin-/,,,,,singular,FALSE,FALSE
mitigomin,pl,mitigominan,/mitigomin-/,,,,,plural,FALSE,FALSE
mitigomin,dim,mitigominens,/mitigomin-/,,,,,,TRUE,FALSE
mitigomin,loc,mitigomining,/mitigomin-/,,,,,,FALSE,TRUE
nagadenim,1s - 3s - ind,ninagadenimaa,/nagadenim-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
nagadenim,3s - 3' - ind,onagadenimaan,/nagadenim-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
nagadenim,3s - 3' - conj,nagadenimaad,/nagadenim-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
nagadenim,3s - 3' - ch-conj,negadenimaad,/nagadenim-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
