lemma,part_of_speech,translation,relations
nagadan,transitive inanimate verb,"leave it behind; abandon, outstrip it Paired with:nagazh","nagazh, nagadan, webinigan"
gashki'o,animate intransitive verb,s/he gets free; s/he is able,"gashkiwizh, gashkiwidoon, gashki', gashkinan, gashkin, gashkinan, gashkin, gashkiwizh, gashkiwidoon"
boozi,animate intransitive verb,"s/he gets in or on (a vehicle or a boat), boards, gets aboard, embarks","boozibizh, boozibidoon, boozwebinan, boozwebin"
babaa-,directional preverb,"going about, going around","babaamaasin, babaamaashi, babaamiwizh, babaamiwidoon, babaamibizo, babaamibide, babaamise, babaamise, babaamibizo, babaamibide, babaamiwidoon, babaamaasin, babaamaashi, babaamibizo, babaamibide, babaamaadage, babaamaadagaa, babaamiwizh, babaamiwidoon"
baa-,directional preverb,about a place (locally distributed),
ishpayi'ii,locational adverb,"up high (above, or over it) See also:ishpaya'ii","ishpaya'ii, ishpimiing"
memindage,manner adverb,"especially, particularly, above all, of course",
miniiwaabide,animate intransitive verb,s/he has an abscessed tooth,
apiitendi,animate intransitive verb,"s/he is away, absent, gone so long",
aabiinjitoon,class 2 transitive inanimate verb,"abuse, damage, injure it; overdo an action on it Paired with:aabiinji'","aabiinji', aanimitoon, aanimi'"
odaapin,transitive animate verb,"take, accept, pick h/ up Paired with:an","odaapinan, odaapin"
niiwanishin,animate intransitive verb,s/he dies in an accident,
bichi-,lexical preverb,"accidentally, by accident","bitandan, bitam, bitizhan, bitizh, bitikodan, bitikozh, bitaganaandan, bitaganaam, bita', bita'an, bichinaw, bichinan"
zhaabowe,animate intransitive verb,s/he sings an accompaniment (of women),
wiijiiw,transitive animate verb,"go with, come with, accompany h/",
gashki'ewizi,animate intransitive verb,"s/he accomplishes, succeeds",debin
asigibii'igewinini,animate noun,"an accountant, a bookkeeper",
anaamim,transitive animate verb,"blame h/ (in speech), accuse h/",
bezhigoobii'igan,animate noun,an ace,
dewizi,animate intransitive verb,"s/he aches, has an ache","dewipikwane, dewipikwan, dewaawigane, dadewigane"
moosewiingwe,animate intransitive verb,s/he has acne on h/ face,
mitigomin,inanimate noun,an acorn,
nagadenim,transitive animate verb,"be used to, familiar with, acquainted with h/ Paired with:nagadendan",nagadendan
gashkichige,animate intransitive verb,"s/he acquires something, earns something, is able (to do something)",
daso-diba'igaans,number,"a certain number of minutes, so many minutesa certain number of acres, so many acres","ningo-diba'igaans, ingo-diba'igaans, niiyo-diba'igaans, niiwo-diba'igaans, ningodwaaso-diba'igaans, ingodwaaso-diba'igaans, nishwaaso-diba'igaans, ishwaaso-diba'igaans"
aakomaagwad,inanimate intransitive verb,"it stinks, smells acrid Paired with:aakomaagozi","aakomaagozi, aakomaagwad, aakomaandan, aakomaam, aakomaaso, aakomaate"
aazhogewidoon,class 2 transitive inanimate verb,"carry, take it across Paired with:aazhogewizh","aazhogewizh, aazhogewidoon, aazhawibizo, aazhogebide, aazhawa'oozh, aazhawa'oodoon, aazhawaakosidoon, aazhawaakoshim, aazhawaakosin, aazhawaakoshin, aazhoobatoo, aazhawibatoo, aazhawaadage, aazhawaadagaa, aazhogewizh, aazhogewidoon, aazhawa'oozh, aazhawa'oodoon"
agaamaya'ii,locational adverb,"across something, across the way",
asigagindaaso,animate intransitive verb,"s/he adds, totals","asigagindan, asigagim"
dagon,transitive animate verb,"add h/ in, mix h/ in Paired with:an","dagonan, dagon, dagonigaazo"
ganoozh,transitive animate verb,"address h/, speak to h/, call h/ (on the phone) Paired with:ganoodan","ganoodan, ganoozh"
agoke,inanimate intransitive verb,"it sticks on, adheres Paired with:","agoke, bazagoke"
agokiwasiganeyaab,inanimate noun,adhesive tape,
ogimaawigamig,inanimate noun,an admistrative office; a head office,
minwaabamewizi,animate intransitive verb,"s/he is admired,  is respected",
oshkiniigii,animate intransitive verb,"s/he is young, is an adolescent",
bami',transitive animate verb,"take care of, look after, support, provide for, adopt h/ Paired with:bamitoon",bamitoon
gichi-aya'aa,animate noun,"an adult, an elder",
giizhaa,temporal adverb,already; beforehand; in advance; ahead of time,
miigaadenim,transitive animate verb,think of h/ as an enemy or adversary; feel like fighting h/,
gotaaji,animate intransitive verb,"s/he is afraid, is fearful","gotan, goshi"
makadewiiyaas,animate noun,a Black person; a person of African descent,
baanimaa,temporal adverb,"later, after a while, eventually See also:baamaa","baamaa, baamaapii, baanimaa apii"
baanimaa,temporal adverb,"later, after a while, eventually See also:baamaa","baamaa, baamaapii, baanimaa apii"
ishkwaa-naawakwe,inanimate intransitive verb,it is afternoon,
miinawaa,conjunctive adverb,also; and; again,
aaswaakogaabawi,animate intransitive verb,"s/he stands leaning against something (a wall, a tree)","aatwaakosidoon, aatwaakosin, aatwaakoshim, aatwaakoshin, aatwaakowebinan, aatwaakowebin, apangishin, ashidinan, ashidin"
wiijigim,transitive animate verb,be the same age as h/,apiitaa
gitizi,animate intransitive verb,"s/he is elderly, is old, is aged",
wajepii,animate intransitive verb,"s/he is quick, is agile",
mamaazikaa,animate intransitive verb,"s/he moves, is in motion, twitches",
mewinzha,temporal adverb,"a long time ago, long ago",
debwetaw,transitive animate verb,"believe, agree with, obey h/ Paired with:debwetan",debwetan
minokaw,transitive animate verb,"fit h/ well it (something consumed) agrees with h/, does h/ good See also:minokan",minokan
